(42, 30, 'B', 1186968, '93.20', '2013-1-28 15:53:18', 371, 3, 352, 'https://mega.nz/...'),
(90, 16, 'C', 999749, '78.84', '2011-10-4 16:5:3', 292, 31, 173, 'https://mega.nz/...'),
(90, 32, 'A', 1196827, '96.87', '2016-7-5 6:23:48', 201, 6, 209, 'https://mega.nz/...'),
(90, 7, 'S', 1240397, '98.71', '2016-3-28 4:22:29', 309, 0, 336, 'https://mega.nz/...'),
(90, 20, 'C', 946290, '75.17', '2014-9-4 0:8:20', 244, 44, 122, 'https://mega.nz/...'),
(90, 22, 'D', 883944, '68.92', '2013-2-29 23:23:50', 305, 120, 105, 'https://mega.nz/...'),
(90, 9, 'B', 1125667, '90.21', '2010-9-18 2:54:30', 243, 29, 212, 'https://mega.nz/...'),
(143, 2, 'C', 881937, '70.38', '2011-10-19 2:33:37', 208, 107, 79, 'https://mega.nz/...'),
(143, 3, 'D', 867700, '67.66', '2012-9-14 21:53:54', 299, 25, 94, 'https://mega.nz/...'),
(143, 10, 'B', 1160524, '90.60', '2015-10-8 8:52:38', 394, 26, 349, 'https://mega.nz/...'),
(143, 14, 'B', 1126669, '90.84', '2012-12-11 0:52:51', 210, 34, 187, 'https://mega.nz/...'),
(143, 11, 'C', 1025865, '79.57', '2015-8-24 17:46:19', 379, 79, 231, 'https://mega.nz/...'),
(143, 29, 'C', 935539, '74.33', '2011-6-28 10:1:48', 240, 14, 115, 'https://mega.nz/...'),
(175, 21, 'B', 1138798, '92.03', '2011-12-9 18:11:27', 200, 21, 184, 'https://mega.nz/...'),
(161, 17, 'A', 1196590, '96.16', '2016-3-29 7:35:9', 242, 5, 247, 'https://mega.nz/...'),
(161, 34, 'B', 1074656, '86.39', '2015-6-3 13:51:25', 216, 44, 168, 'https://mega.nz/...'),
(161, 30, 'C', 927140, '72.32', '2011-11-23 23:57:18', 318, 4, 137, 'https://mega.nz/...'),
(161, 5, 'B', 1104242, '87.29', '2010-6-17 22:8:3', 310, 15, 249, 'https://mega.nz/...'),
(68, 10, 'B', 1087340, '88.62', '2014-8-1 0:13:25', 332, 33, 309, 'https://mega.nz/...'),
(68, 5, 'C', 936248, '76.15', '2015-8-28 6:20:54', 295, 59, 172, 'https://mega.nz/...'),
(65, 11, 'C', 1017495, '83.13', '2015-4-6 2:13:37', 299, 18, 232, 'https://mega.nz/...'),
(65, 18, 'C', 876281, '70.16', '2012-1-14 13:31:38', 340, 7, 142, 'https://mega.nz/...'),
(65, 20, 'B', 1058854, '87.05', '2011-7-28 6:48:8', 280, 41, 248, 'https://mega.nz/...'),
(5, 23, 'C', 996313, '82.60', '2016-7-19 22:7:35', 224, 41, 171, 'https://mega.nz/...'),
(5, 13, 'D', 830382, '67.62', '2011-4-23 5:5:49', 257, 119, 89, 'https://mega.nz/...'),
(5, 15, 'C', 941022, '77.95', '2013-8-2 19:42:26', 215, 60, 136, 'https://mega.nz/...'),
(5, 6, 'A', 1173856, '96.55', '2012-1-18 12:40:58', 308, 3, 354, 'https://mega.nz/...'),
(5, 28, 'D', 864142, '69.79', '2013-6-29 12:56:45', 301, 7, 123, 'https://mega.nz/...'),
(5, 15, 'S', 1195828, '98.44', '2012-4-4 1:31:40', 309, 2, 371, 'https://mega.nz/...'),
(153, 22, 'C', 854033, '70.68', '2014-5-28 14:53:15', 199, 14, 86, 'https://mega.nz/...'),
(153, 25, 'B', 1093278, '89.92', '2015-4-5 0:38:52', 287, 17, 277, 'https://mega.nz/...'),
(153, 25, 'D', 846673, '66.85', '2014-3-17 6:22:23', 383, 11, 125, 'https://mega.nz/...'),
(153, 25, 'B', 1092340, '88.62', '2011-12-20 0:40:54', 357, 7, 332, 'https://mega.nz/...'),
(153, 26, 'C', 1019502, '82.37', '2013-7-24 14:25:26', 353, 62, 267, 'https://mega.nz/...'),
(153, 3, 'C', 914902, '75.29', '2013-4-10 14:14:23', 238, 41, 133, 'https://mega.nz/...'),
(153, 32, 'B', 1102811, '91.89', '2013-5-26 12:20:48', 221, 11, 225, 'https://mega.nz/...'),
(153, 32, 'C', 987681, '79.75', '2010-7-13 13:55:24', 345, 46, 236, 'https://mega.nz/...'),
(186, 17, 'A', 840890, '94.31', '2016-10-5 8:28:8', 215, 7, 231, 'https://mega.nz/...'),
(186, 17, 'S', 862709, '97.48', '2014-10-19 1:41:50', 190, 5, 221, 'https://mega.nz/...'),
(186, 16, 'C', 729859, '81.52', '2014-1-15 0:44:47', 201, 2, 146, 'https://mega.nz/...'),
(186, 8, 'S', 867708, '97.74', '2011-1-20 7:20:47', 204, 3, 239, 'https://mega.nz/...'),
(186, 1, 'B', 751450, '85.44', '2016-10-20 12:8:47', 143, 16, 119, 'https://mega.nz/...'),
(186, 31, 'C', 635051, '70.05', '2015-12-5 17:13:52', 212, 60, 87, 'https://mega.nz/...'),
(186, 33, 'S', 891298, '99.37', '2016-9-7 6:37:22', 253, 1, 307, 'https://mega.nz/...'),
(186, 32, 'B', 791086, '88.97', '2011-12-22 2:56:27', 192, 15, 178, 'https://mega.nz/...'),
(33, 14, 'C', 636300, '71.67', '2015-6-14 16:50:4', 150, 50, 68, 'https://mega.nz/...'),
(33, 2, 'C', 640443, '71.66', '2016-6-22 8:26:35', 171, 41, 78, 'https://mega.nz/...'),
(33, 33, 'C', 758699, '83.98', '2010-11-28 23:22:0', 241, 10, 191, 'https://mega.nz/...'),
(33, 5, 'A', 846599, '95.39', '2015-7-22 16:31:4', 198, 6, 219, 'https://mega.nz/...'),
(158, 20, 'S', 884685, '99.23', '2016-11-26 9:47:30', 226, 1, 274, 'https://mega.nz/...'),
(158, 29, 'B', 777140, '85.41', '2010-5-3 19:18:16', 273, 18, 227, 'https://mega.nz/...'),
(158, 9, 'C', 732532, '82.40', '2014-1-25 17:39:46', 177, 29, 132, 'https://mega.nz/...'),
(158, 30, 'C', 731164, '79.81', '2011-12-19 11:25:59', 280, 14, 190, 'https://mega.nz/...'),
(158, 14, 'C', 664021, '72.89', '2010-1-9 12:30:0', 237, 27, 116, 'https://mega.nz/...'),
(158, 3, 'B', 799641, '89.89', '2015-11-17 9:10:19', 196, 7, 187, 'https://mega.nz/...'),
(158, 3, 'B', 798068, '90.41', '2011-4-26 21:22:9', 166, 3, 161, 'https://mega.nz/...'),
(158, 10, 'C', 695525, '78.62', '2012-11-12 14:41:41', 152, 17, 98, 'https://mega.nz/...'),
(158, 13, 'B', 835703, '92.92', '2012-4-4 2:20:57', 248, 4, 257, 'https://mega.nz/...'),
(177, 32, 'C', 715468, '78.87', '2015-3-16 11:8:26', 241, 7, 157, 'https://mega.nz/...'),
(119, 17, 'B', 764687, '85.12', '2013-7-18 1:39:52', 223, 16, 184, 'https://mega.nz/...'),
(119, 27, 'B', 757432, '85.35', '2011-6-27 18:59:1', 177, 10, 147, 'https://mega.nz/...'),
(119, 35, 'A', 851744, '94.60', '2015-8-1 1:43:59', 257, 9, 278, 'https://mega.nz/...'),
(96, 1, 'D', 749780, '68.51', '2015-11-5 20:58:58', 265, 30, 95, 'https://mega.nz/...'),
(96, 20, 'C', 799041, '74.56', '2013-8-26 0:56:10', 204, 78, 106, 'https://mega.nz/...'),
(96, 6, 'B', 945703, '89.43', '2012-7-4 0:37:2', 181, 19, 165, 'https://mega.nz/...'),
(96, 11, 'B', 914240, '86.12', '2010-2-12 16:44:1', 192, 30, 158, 'https://mega.nz/...'),
(96, 10, 'C', 847460, '79.38', '2010-10-29 21:8:15', 201, 42, 130, 'https://mega.nz/...'),
(96, 11, 'C', 785792, '72.11', '2015-2-27 6:2:26', 262, 72, 119, 'https://mega.nz/...'),
(96, 14, 'B', 938806, '85.92', '2010-1-7 0:47:2', 325, 3, 267, 'https://mega.nz/...'),
(63, 32, 'B', 963801, '90.01', '2010-4-14 21:8:15', 242, 13, 225, 'https://mega.nz/...'),
(63, 2, 'C', 813586, '74.04', '2010-1-24 8:59:17', 303, 74, 153, 'https://mega.nz/...'),
(63, 31, 'C', 863270, '78.26', '2014-12-29 13:2:59', 337, 10, 208, 'https://mega.nz/...'),
(63, 6, 'B', 927477, '85.16', '2010-2-22 8:21:2', 307, 6, 246, 'https://mega.nz/...'),
(63, 13, 'B', 924131, '85.09', '2014-4-6 8:48:42', 294, 33, 235, 'https://mega.nz/...'),
(63, 20, 'B', 953583, '88.34', '2013-4-28 12:50:34', 276, 20, 244, 'https://mega.nz/...'),
(63, 14, 'B', 928227, '87.42', '2014-7-25 14:36:28', 196, 32, 169, 'https://mega.nz/...'),
(63, 21, 'C', 891834, '81.77', '2013-3-13 15:42:38', 301, 21, 214, 'https://mega.nz/...'),
(63, 17, 'C', 893917, '83.83', '2011-3-8 12:17:37', 207, 3, 158, 'https://mega.nz/...'),
(166, 28, 'C', 862948, '78.52', '2016-12-29 2:18:7', 322, 46, 201, 'https://mega.nz/...'),
(166, 5, 'B', 964469, '90.21', '2015-12-29 0:49:56', 235, 32, 220, 'https://mega.nz/...'),
(166, 4, 'C', 871396, '79.39', '2012-3-15 16:40:49', 320, 46, 207, 'https://mega.nz/...'),
(166, 8, 'C', 774640, '72.39', '2012-12-27 13:7:28', 192, 17, 88, 'https://mega.nz/...'),
(189, 14, 'S', 1058049, '98.14', '2016-5-23 4:37:40', 300, 2, 344, 'https://mega.nz/...'),
(189, 4, 'D', 743624, '67.59', '2016-5-15 13:13:8', 281, 64, 94, 'https://mega.nz/...'),
(189, 1, 'B', 956868, '88.84', '2015-4-3 7:30:45', 267, 21, 240, 'https://mega.nz/...'),
(189, 8, 'B', 995962, '92.52', '2013-11-24 7:8:20', 275, 12, 274, 'https://mega.nz/...'),
(189, 17, 'C', 886312, '81.45', '2014-3-11 2:18:8', 290, 52, 204, 'https://mega.nz/...'),
(109, 6, 'C', 896763, '81.94', '2014-7-17 8:12:12', 317, 53, 227, 'https://mega.nz/...'),
(109, 28, 'C', 914744, '84.58', '2015-1-6 4:54:50', 273, 21, 214, 'https://mega.nz/...'),
(109, 11, 'S', 1061789, '99.55', '2012-9-20 18:22:44', 247, 1, 292, 'https://mega.nz/...'),
(109, 21, 'C', 812847, '74.20', '2015-11-12 0:19:43', 291, 79, 148, 'https://mega.nz/...'),
(109, 11, 'C', 788650, '73.63', '2010-10-2 6:27:25', 199, 78, 98, 'https://mega.nz/...'),
(109, 6, 'B', 971419, '90.90', '2013-8-1 17:24:44', 235, 22, 224, 'https://mega.nz/...'),
(109, 7, 'D', 743323, '68.57', '2016-7-5 16:13:16', 230, 50, 83, 'https://mega.nz/...'),
(19, 2, 'C', 825614, '74.59', '2013-3-9 14:4:49', 335, 56, 174, 'https://mega.nz/...'),
(19, 17, 'C', 844940, '76.71', '2016-7-22 5:2:38', 324, 0, 187, 'https://mega.nz/...'),
(147, 20, 'C', 723629, '70.02', '2012-10-24 18:25:30', 173, 58, 68, 'https://mega.nz/...'),
(147, 24, 'A', 979531, '94.18', '2013-10-23 17:40:24', 264, 17, 271, 'https://mega.nz/...'),
(147, 4, 'C', 733645, '70.76', '2013-1-16 9:43:17', 187, 72, 77, 'https://mega.nz/...'),
(147, 18, 'C', 838863, '80.23', '2011-4-27 12:14:10', 247, 48, 163, 'https://mega.nz/...'),
(147, 3, 'C', 818833, '78.54', '2015-8-21 0:53:2', 230, 37, 142, 'https://mega.nz/...'),
(147, 25, 'C', 795725, '76.92', '2011-4-9 15:11:28', 194, 18, 111, 'https://mega.nz/...'),
(147, 21, 'C', 799900, '75.62', '2012-2-4 19:57:26', 279, 50, 151, 'https://mega.nz/...'),
(147, 18, 'C', 787057, '73.81', '2014-1-19 18:42:15', 304, 64, 150, 'https://mega.nz/...'),
(93, 2, 'B', 933144, '89.30', '2016-4-15 17:48:10', 272, 29, 245, 'https://mega.nz/...'),
(93, 3, 'C', 749234, '70.41', '2015-3-22 5:37:24', 282, 79, 114, 'https://mega.nz/...'),
